symbol,LFC,FDR,ID
Mef2d,-0.041549661,1,ENSMUSG00000001419
Tmem79,0.161880186,0.169399733,ENSMUSG00000001420
Snd1,-0.005849279,1,ENSMUSG00000001424
Col18a1,0.007346516,1,ENSMUSG00000001435
Slc19a1,0.021674074,1,ENSMUSG00000001436
Kpnb1,0.033724932,1,ENSMUSG00000001440
Npepps,-0.015022348,1,ENSMUSG00000001441
Tbx21,-0.009840511,0.869980164,ENSMUSG00000001444
Mrpl10,-0.005279669,1,ENSMUSG00000001445
Cyp51,-0.009278202,1,ENSMUSG00000001467
Tcf25,0.070723531,0.980217661,ENSMUSG00000001472
Tubb6,3.594541342,4.98E-05,ENSMUSG00000001473
Def8,-0.017775107,1,ENSMUSG00000001482
Meox1,-0.019191064,0.812343565,ENSMUSG00000001493
Sost,0.03291904,0.45958173,ENSMUSG00000001494
Pax9,0.002226191,0.968892595,ENSMUSG00000001497
Col1a1,-0.046301938,0.069046866,ENSMUSG00000001506
Itga3,0.066446211,0.97306655,ENSMUSG00000001507
Sgca,-0.003430504,1,ENSMUSG00000001508
Dlx3,-0.109881433,0.009637514,ENSMUSG00000001510
Foxm1,-0.015085833,0.922066434,ENSMUSG00000001517
Itfg2,0.015463606,1,ENSMUSG00000001518
Nrip2,0.030889637,1,ENSMUSG00000001520
Tulp3,0.073401802,0.812103012,ENSMUSG00000001521
Gtf2h4,-0.010765378,1,ENSMUSG00000001524
Tubb5,0.123505263,0.864475805,ENSMUSG00000001525
Ell2,0.044285737,1,ENSMUSG00000001542
Jup,0.047303606,1,ENSMUSG00000001552
Fkbp10,-0.02278553,1,ENSMUSG00000001555
Klhl10,-0.059306562,0.034840667,ENSMUSG00000001558
Nom1,0.007720076,1,ENSMUSG00000001569
Ergic1,0.03048702,1,ENSMUSG00000001576
Tnk1,0.037498294,0.900938163,ENSMUSG00000001583
Acap1,-0.066103755,0.13414049,ENSMUSG00000001588
Tcea3,-0.017133824,0.183518396,ENSMUSG00000001604
Ifrd1,0.703467242,0.191073896,ENSMUSG00000001627
Stk38l,-0.048443926,1,ENSMUSG00000001630
Brpf1,0.031664912,0.998732214,ENSMUSG00000001632
Akr1b3,-0.067477843,1,ENSMUSG00000001642
Hoxc11,-0.001056386,1,ENSMUSG00000001656
Hoxc8,-0.0466508,0.684926043,ENSMUSG00000001657
Hoxc6,-0.015498192,1,ENSMUSG00000001661
Gstt1,-0.035369068,1,ENSMUSG00000001663
Gstt3,-0.013781218,0.851143334,ENSMUSG00000001665
Ddt,-0.078590064,0.952712895,ENSMUSG00000001666
Tat,-0.004810535,1,ENSMUSG00000001670
Marveld3,-0.035053725,0.436700236,ENSMUSG00000001672
Ddx18,-0.060122691,0.917372641,ENSMUSG00000001674
Ubl3,-0.052841036,0.917445796,ENSMUSG00000001687
Gramd3,0.016498489,0.697057131,ENSMUSG00000001700
Eef1e1,0.01207287,1,ENSMUSG00000001707
Akt1,0.07607611,0.939609268,ENSMUSG00000001729
Cldn15,-0.011359233,0.889489616,ENSMUSG00000001739
Il16,-0.000864846,1,ENSMUSG00000001741
Tcirg1,0.024431148,1,ENSMUSG00000001750
Naglu,0.011609292,1,ENSMUSG00000001751
Coasy,0.037453236,1,ENSMUSG00000001755
Smo,-0.015448978,0.813768975,ENSMUSG00000001761
Tspan33,-0.031416597,0.267743747,ENSMUSG00000001763
Crnkl1,-0.000331486,1,ENSMUSG00000001767
Rin2,0.120573925,0.575040163,ENSMUSG00000001768
Folh1,0.026940778,0.644661395,ENSMUSG00000001773
Chordc1,-0.000469655,1,ENSMUSG00000001774
Rtcb,0.051451459,0.975188735,ENSMUSG00000001783
Pwp1,0.041660927,0.975188735,ENSMUSG00000001785
Fbxo7,-0.065639861,0.880892228,ENSMUSG00000001786
Capns1,0.32459186,0.23553494,ENSMUSG00000001794
Lrp3,-0.009742939,1,ENSMUSG00000001802
Evx2,0.006974314,1,ENSMUSG00000001815
Hoxd13,0.00770953,1,ENSMUSG00000001819
Folr1,-0.010943499,0.52673842,ENSMUSG00000001827
Clpb,0.043889701,1,ENSMUSG00000001829
Septin7,-0.07047751,1,ENSMUSG00000001833
Zdhhc4,0.033977969,1,ENSMUSG00000001844
Rac1,0.557897602,0.004070059,ENSMUSG00000001847
Nup214,0.01292822,1,ENSMUSG00000001855
Aif1l,-0.001683613,1,ENSMUSG00000001864
Cpa3,0.021301352,0.556610609,ENSMUSG00000001865
Ltbp1,0.046282441,0.510655416,ENSMUSG00000001870
Ugp2,0.058889535,1,ENSMUSG00000001891
Kcnh6,-0.001593687,1,ENSMUSG00000001901
Trmt1,0.007060334,1,ENSMUSG00000001909
Nacc1,0.008387295,1,ENSMUSG00000001910
Nfix,-0.042003936,1,ENSMUSG00000001911
Slc1a5,-0.023424746,1,ENSMUSG00000001918
Uba1,-0.005393363,1,ENSMUSG00000001924
Vwf,0.054576281,1,ENSMUSG00000001930
Siae,0.090843521,1,ENSMUSG00000001942
Vsig2,0.025891436,0.092540636,ENSMUSG00000001943
