symbol,LFC,FDR,ID
Pcbp3,3.202117234,1.20E-09,ENSMUSG00000001120
Lgals9,0.472583379,0.465110385,ENSMUSG00000001123
Araf,0.210163942,0.706970273,ENSMUSG00000001127
Cfp,1.028339787,0.149169909,ENSMUSG00000001128
Timp1,3.275168786,0.008126073,ENSMUSG00000001131
Uxt,-0.470573819,0.432183792,ENSMUSG00000001134
Cnnm3,0.612007616,0.400930363,ENSMUSG00000001138
Lman2l,0.177564934,0.760635845,ENSMUSG00000001143
Mcm3ap,0.601817487,0.455819169,ENSMUSG00000001150
Pcnt,0.452297574,0.594837575,ENSMUSG00000001151
Ftcd,0.157685042,1,ENSMUSG00000001155
Mxd1,-0.288717822,0.779272116,ENSMUSG00000001156
Gmcl1,0.04036698,0.889802859,ENSMUSG00000001157
Snrnp27,0.112977092,0.72352149,ENSMUSG00000001158
Oas1c,0.066894748,0.988159119,ENSMUSG00000001166
Oas1h,-0.10768824,1,ENSMUSG00000001168
Ocrl,0.880903877,0.170694658,ENSMUSG00000001173
Calm1,-0.284277563,0.110835789,ENSMUSG00000001175
Agpat3,-0.032634753,0.960885229,ENSMUSG00000001211
Slc26a3,0.458489174,0.879128118,ENSMUSG00000001225
Sema6b,-0.008600688,1,ENSMUSG00000001227
Uhrf1,2.744247969,0.000476552,ENSMUSG00000001228
Dpp9,-0.036441113,1,ENSMUSG00000001229
Ramp2,-0.275726982,0.68808228,ENSMUSG00000001240
Lsr,-0.34146891,0.677911747,ENSMUSG00000001247
Gramd1a,-0.110280226,0.828544167,ENSMUSG00000001248
Hpn,-0.535789379,0.678902931,ENSMUSG00000001249
Gabrg1,7.158588014,5.43E-05,ENSMUSG00000001260
Ckb,-0.421335512,0.242932751,ENSMUSG00000001270
Sp1,0.858566625,0.24769289,ENSMUSG00000001280
Itgb7,3.082753223,0.005155082,ENSMUSG00000001281
Myg1,1.039626807,0.020817857,ENSMUSG00000001285
Rarg,-0.496372302,0.569420702,ENSMUSG00000001288
Pfdn5,-0.386029857,0.087573469,ENSMUSG00000001289
Efnb2,-0.508976272,0.60999357,ENSMUSG00000001300
Rrp15,-0.408210506,0.649346954,ENSMUSG00000001305
Rnd2,-0.171584316,0.862767836,ENSMUSG00000001313
Srr,0.289290733,0.655143879,ENSMUSG00000001323
Sync,-1.285514977,0.038676669,ENSMUSG00000001333
Fndc5,0.919634216,0.140239915,ENSMUSG00000001334
Acp5,0.239877854,0.551602376,ENSMUSG00000001348
Cnn1,-6.260138685,5.58E-06,ENSMUSG00000001349
Fbxo9,-0.836885102,0.161757566,ENSMUSG00000001366
Vps50,-0.597862067,0.314338647,ENSMUSG00000001376
Hars,1.352526721,0.012612182,ENSMUSG00000001380
Zmat2,-0.334826588,0.620838158,ENSMUSG00000001383
Ube2c,3.085483662,0.017236193,ENSMUSG00000001403
Smg5,1.5974296,0.005887051,ENSMUSG00000001415
Cct3,0.075861784,0.944118311,ENSMUSG00000001416
Glmp,0.440793849,0.239564123,ENSMUSG00000001418
Mef2d,-1.075930021,0.040812127,ENSMUSG00000001419
Tmem79,-0.665153803,0.307317012,ENSMUSG00000001420
Snd1,0.186321044,0.816537587,ENSMUSG00000001424
Col18a1,1.917957042,0.028006567,ENSMUSG00000001435
Slc19a1,-0.134178905,0.876973689,ENSMUSG00000001436
Kpnb1,-0.39109399,0.416386806,ENSMUSG00000001440
Npepps,-0.132474784,0.95597623,ENSMUSG00000001441
Tbx21,-0.376468656,0.85408065,ENSMUSG00000001444
Mrpl10,-0.503286834,0.358099822,ENSMUSG00000001445
Cyp51,-0.799770823,0.12670024,ENSMUSG00000001467
Tcf25,-0.074215987,0.95587598,ENSMUSG00000001472
Tubb6,2.332860353,0.000793177,ENSMUSG00000001473
Def8,0.792278349,0.260435543,ENSMUSG00000001482
Meox1,0.150232831,0.856877684,ENSMUSG00000001493
Sost,-0.070107007,1,ENSMUSG00000001494
Pax9,0.027949276,0.915327755,ENSMUSG00000001497
Col1a1,0.118596684,1,ENSMUSG00000001506
Itga3,1.350647714,0.011502602,ENSMUSG00000001507
Sgca,-0.227472626,0.84949394,ENSMUSG00000001508
Dlx3,0.062386429,1,ENSMUSG00000001510
Foxm1,1.452658685,0.054061281,ENSMUSG00000001517
Itfg2,-0.337082713,0.672720995,ENSMUSG00000001518
Nrip2,-0.231812642,0.694221331,ENSMUSG00000001520
Tulp3,1.464641508,0.00244242,ENSMUSG00000001521
Gtf2h4,-1.209328022,0.079298561,ENSMUSG00000001524
Tubb5,0.40648324,0.010277861,ENSMUSG00000001525
Ell2,1.389847927,0.058987478,ENSMUSG00000001542
Jup,0.690399532,0.199387562,ENSMUSG00000001552
Fkbp10,0.664817773,0.430834078,ENSMUSG00000001555
Klhl10,0.494868085,0.776642736,ENSMUSG00000001558
Nom1,-0.42223615,0.569448471,ENSMUSG00000001569
Ergic1,-0.187591508,0.713293611,ENSMUSG00000001576
Tnk1,2.179701313,2.29E-08,ENSMUSG00000001583
Acap1,0.084060689,1,ENSMUSG00000001588
Tcea3,0.544039779,0.419905796,ENSMUSG00000001604
Ifrd1,0.755244591,0.174426949,ENSMUSG00000001627
Stk38l,-0.0508267,0.959078051,ENSMUSG00000001630
Brpf1,-1.753226284,0.006983738,ENSMUSG00000001632
Akr1b3,0.135829732,0.84427917,ENSMUSG00000001642
Hoxc11,0.234877911,1,ENSMUSG00000001656
Hoxc8,0.167137187,0.848369949,ENSMUSG00000001657
Hoxc6,0.215842805,0.802390964,ENSMUSG00000001661
Gstt1,-0.256223863,0.63562468,ENSMUSG00000001663
Gstt3,0.309982704,0.716917439,ENSMUSG00000001665
Ddt,-0.162676811,0.698123452,ENSMUSG00000001666
Tat,0.037982525,1,ENSMUSG00000001670
Marveld3,-0.191237622,0.867163937,ENSMUSG00000001672
Ddx18,-0.037713169,0.860947892,ENSMUSG00000001674
Ubl3,0.090165976,0.920980203,ENSMUSG00000001687
