symbol,LFC,FDR,ID
Wfdc18,0.32593906,0.048542627,ENSMUSG00000000983
Icam4,-0.021720382,1,ENSMUSG00000001014
Ilf2,0.052611651,0.760992391,ENSMUSG00000001016
Chtop,-0.494424343,0.165452539,ENSMUSG00000001017
Snapin,-0.126830743,0.632467966,ENSMUSG00000001018
S100a4,0.331396386,0.724236807,ENSMUSG00000001020
S100a3,0.184048635,1,ENSMUSG00000001021
S100a5,-0.298938428,0.812210111,ENSMUSG00000001023
S100a6,0.032182458,0.940335392,ENSMUSG00000001025
Scn4a,-0.407794657,0.663779147,ENSMUSG00000001027
Icam2,-0.436787411,0.394614052,ENSMUSG00000001029
Mapk7,-0.866675712,0.128606164,ENSMUSG00000001034
Epn2,-0.006531372,1,ENSMUSG00000001036
B9d1,-0.264819903,0.808277999,ENSMUSG00000001039
Sec24b,0.377400117,0.650461694,ENSMUSG00000001052
N4bp3,-0.233541361,0.868553193,ENSMUSG00000001053
Rmnd5b,-0.256966121,0.566604097,ENSMUSG00000001054
Nhp2,0.121029538,0.75429041,ENSMUSG00000001056
Vps9d1,0.432321002,0.623380569,ENSMUSG00000001062
Zfp276,-0.390611123,0.717965198,ENSMUSG00000001065
C1ql4,-0.133026763,1,ENSMUSG00000001076
Mfsd10,0.471247573,0.545170758,ENSMUSG00000001082
Luzp1,-0.5723168,0.19314499,ENSMUSG00000001089
Slc13a2,0.16500929,1,ENSMUSG00000001095
Kctd10,0.780014487,0.181009665,ENSMUSG00000001098
Poldip2,0.203866668,0.689076558,ENSMUSG00000001100
Sebox,0.016535224,1,ENSMUSG00000001103
Ift20,-0.284565351,0.427168246,ENSMUSG00000001105
Col6a1,-0.530502585,0.235938588,ENSMUSG00000001119
Pcbp3,-1.246766488,0.02130188,ENSMUSG00000001120
Lgals9,0.122580575,0.840371333,ENSMUSG00000001123
Araf,-0.33811367,0.52295892,ENSMUSG00000001127
Cfp,0.690114329,0.36237238,ENSMUSG00000001128
Timp1,0.6049182,0.410111942,ENSMUSG00000001131
Uxt,0.063166232,0.984491502,ENSMUSG00000001134
Cnnm3,-3.55650599,4.25E-06,ENSMUSG00000001138
Lman2l,-0.17432692,0.683923489,ENSMUSG00000001143
Mcm3ap,-0.321979999,0.72413773,ENSMUSG00000001150
Pcnt,0.232722772,0.997785315,ENSMUSG00000001151
Ftcd,-0.060913325,1,ENSMUSG00000001155
Mxd1,-0.134325404,0.979998927,ENSMUSG00000001156
Gmcl1,0.754467498,0.141903877,ENSMUSG00000001157
Snrnp27,0.413218987,0.050342714,ENSMUSG00000001158
Oas1c,-5.405845835,1.74E-11,ENSMUSG00000001166
Oas1h,0.089079279,1,ENSMUSG00000001168
Ocrl,0.147028551,0.992245898,ENSMUSG00000001173
Calm1,-0.148200382,0.530073424,ENSMUSG00000001175
Agpat3,-0.166616832,0.838727538,ENSMUSG00000001211
Slc26a3,0.056900644,1,ENSMUSG00000001225
Sema6b,-0.192567768,1,ENSMUSG00000001227
Uhrf1,0.070794255,1,ENSMUSG00000001228
Dpp9,-0.909733007,0.151414048,ENSMUSG00000001229
Ramp2,0.213633947,0.947824617,ENSMUSG00000001240
Lsr,-0.012918579,1,ENSMUSG00000001247
Gramd1a,0.311167442,0.679148518,ENSMUSG00000001248
Hpn,3.150671153,0.004355434,ENSMUSG00000001249
Gabrg1,-0.284498049,0.55904736,ENSMUSG00000001260
Ckb,-0.083839349,0.897617987,ENSMUSG00000001270
Sp1,0.040387507,1,ENSMUSG00000001280
Itgb7,0.173492767,1,ENSMUSG00000001281
Myg1,0.130763306,0.805032098,ENSMUSG00000001285
Rarg,-1.235982447,0.059552525,ENSMUSG00000001288
Pfdn5,0.094515159,0.76382041,ENSMUSG00000001289
Efnb2,0.405797269,0.61699077,ENSMUSG00000001300
Rrp15,0.240144662,0.837409485,ENSMUSG00000001305
Rnd2,-0.00365116,1,ENSMUSG00000001313
Srr,0.156632828,0.791201296,ENSMUSG00000001323
Sync,0.155916572,0.99474653,ENSMUSG00000001333
Fndc5,-1.078475157,0.060930993,ENSMUSG00000001334
Acp5,0.285471354,0.065021273,ENSMUSG00000001348
Cnn1,0.106447613,1,ENSMUSG00000001349
Fbxo9,-0.243445867,0.577198445,ENSMUSG00000001366
Vps50,-1.334179566,0.013407528,ENSMUSG00000001376
Hars,-0.064677632,0.917896571,ENSMUSG00000001380
Zmat2,0.541785753,0.234375449,ENSMUSG00000001383
