symbol,LFC,FDR,ID
Smg5,0.010087337,1,ENSMUSG00000001415
Cct3,-0.010263301,1,ENSMUSG00000001416
Glmp,-0.056007858,0.870853012,ENSMUSG00000001418
Mef2d,-0.006792081,1,ENSMUSG00000001419
Tmem79,-0.018452211,1,ENSMUSG00000001420
Snd1,0.007295446,1,ENSMUSG00000001424
Col18a1,0.002214242,1,ENSMUSG00000001435
Slc19a1,-0.005394795,1,ENSMUSG00000001436
Kpnb1,0.032627063,1,ENSMUSG00000001440
Npepps,0.000116231,1,ENSMUSG00000001441
Tbx21,0.003786525,1,ENSMUSG00000001444
Mrpl10,-0.007136008,1,ENSMUSG00000001445
Cyp51,-0.003313231,1,ENSMUSG00000001467
Tcf25,0.01701309,1,ENSMUSG00000001472
Tubb6,3.661873319,6.06E-06,ENSMUSG00000001473
Def8,-0.000119162,1,ENSMUSG00000001482
Meox1,0.003618275,1,ENSMUSG00000001493
Sost,0.00244523,1,ENSMUSG00000001494
Pax9,-0.000338763,1,ENSMUSG00000001497
Col1a1,0.005076724,1,ENSMUSG00000001506
Itga3,-0.001696651,1,ENSMUSG00000001507
Sgca,-0.002305317,1,ENSMUSG00000001508
Dlx3,-0.027852341,0.175209855,ENSMUSG00000001510
Foxm1,0.011345075,1,ENSMUSG00000001517
Itfg2,-0.00951452,1,ENSMUSG00000001518
Nrip2,0.004546116,1,ENSMUSG00000001520
Tulp3,0.00385104,1,ENSMUSG00000001521
Gtf2h4,-0.001392529,1,ENSMUSG00000001524
Tubb5,0.020967882,1,ENSMUSG00000001525
Ell2,0.029260356,0.097345284,ENSMUSG00000001542
Jup,1.788033262,0.000154026,ENSMUSG00000001552
Fkbp10,-0.007867012,1,ENSMUSG00000001555
Klhl10,-0.006427897,1,ENSMUSG00000001558
Nom1,-0.004702769,1,ENSMUSG00000001569
Ergic1,0.000819461,1,ENSMUSG00000001576
Tnk1,0.01521392,1,ENSMUSG00000001583
Acap1,-0.001832659,1,ENSMUSG00000001588
Tcea3,0.000983995,6.45E-06,ENSMUSG00000001604
Ifrd1,0.97748253,0.282810303,ENSMUSG00000001627
Stk38l,-0.018294426,1,ENSMUSG00000001630
Brpf1,0.012316646,1,ENSMUSG00000001632
Akr1b3,-0.003253486,1,ENSMUSG00000001642
Hoxc11,-0.001484312,1,ENSMUSG00000001656
Hoxc8,-0.008681612,1,ENSMUSG00000001657
Hoxc6,-0.010153239,1,ENSMUSG00000001661
Gstt1,-0.007414976,1,ENSMUSG00000001663
Gstt3,-0.006371748,1,ENSMUSG00000001665
Ddt,-0.000595102,1,ENSMUSG00000001666
Tat,0.001260434,1,ENSMUSG00000001670
Marveld3,-0.000797639,1,ENSMUSG00000001672
Ddx18,-0.001235343,1,ENSMUSG00000001674
Ubl3,-0.053120336,0.338361055,ENSMUSG00000001687
Gramd3,0.004171772,1,ENSMUSG00000001700
Eef1e1,0.007535313,1,ENSMUSG00000001707
Akt1,0.019506345,1,ENSMUSG00000001729
Cldn15,0.008143209,1,ENSMUSG00000001739
Il16,-0.001990458,1,ENSMUSG00000001741
Tcirg1,-0.00485377,1,ENSMUSG00000001750
Naglu,-0.005289343,1,ENSMUSG00000001751
Coasy,0.002555908,1,ENSMUSG00000001755
Smo,0.001889908,1,ENSMUSG00000001761
Tspan33,-0.001969517,1,ENSMUSG00000001763
Crnkl1,-0.011451436,1,ENSMUSG00000001767
Rin2,-0.014325756,1,ENSMUSG00000001768
Folh1,0.000818741,1,ENSMUSG00000001773
Chordc1,-0.022488136,1,ENSMUSG00000001774
Rtcb,-0.010546348,1,ENSMUSG00000001783
Pwp1,-0.0056892,1,ENSMUSG00000001785
Fbxo7,-0.016600153,1,ENSMUSG00000001786
Capns1,0.005110828,1,ENSMUSG00000001794
Lrp3,0.001358447,1,ENSMUSG00000001802
Evx2,0.001496254,1,ENSMUSG00000001815
Hoxd13,-0.000945164,1,ENSMUSG00000001819
Folr1,-0.000585167,1,ENSMUSG00000001827
Clpb,0.006636044,1,ENSMUSG00000001829
Septin7,-0.120755935,0.427018056,ENSMUSG00000001833
Zdhhc4,-0.002873879,1,ENSMUSG00000001844
Rac1,0.029743237,1,ENSMUSG00000001847
Nup214,0.002137807,1,ENSMUSG00000001855
Aif1l,-0.002514632,1,ENSMUSG00000001864
Cpa3,-0.007720097,1,ENSMUSG00000001865
Ltbp1,0.018971036,0.066908406,ENSMUSG00000001870
Ugp2,-0.017730084,1,ENSMUSG00000001891
Kcnh6,-0.005315777,1,ENSMUSG00000001901
