symbol,LCF,FDR,ID
Sebox,-0.047493518,0.607332734,ENSMUSG00000001103
Ift20,0.025005491,1,ENSMUSG00000001105
Col6a1,-0.056370659,1,ENSMUSG00000001119
Pcbp3,-0.082821907,1,ENSMUSG00000001120
Lgals9,-0.011209441,1,ENSMUSG00000001123
Araf,-0.260578466,1,ENSMUSG00000001127
Cfp,0.122158427,1,ENSMUSG00000001128
Timp1,3.445589964,0.065811262,ENSMUSG00000001131
Uxt,0.099611344,1,ENSMUSG00000001134
Cnnm3,0.049603336,1,ENSMUSG00000001138
Lman2l,-0.05274399,1,ENSMUSG00000001143
Mcm3ap,-0.019278726,1,ENSMUSG00000001150
Pcnt,-0.117486891,1,ENSMUSG00000001151
Ftcd,-0.011708191,0.826592948,ENSMUSG00000001155
Mxd1,-0.168811442,0.498328039,ENSMUSG00000001156
Gmcl1,-0.093183841,1,ENSMUSG00000001157
Snrnp27,0.243908178,0.789928032,ENSMUSG00000001158
Oas1c,-0.288211926,0.162929634,ENSMUSG00000001166
Oas1h,-0.016126634,1,ENSMUSG00000001168
Ocrl,0.093895456,1,ENSMUSG00000001173
Calm1,-0.129652768,1,ENSMUSG00000001175
Agpat3,-0.081600236,1,ENSMUSG00000001211
Slc26a3,-0.064893258,0.677729023,ENSMUSG00000001225
Sema6b,-0.097354878,0.168470924,ENSMUSG00000001227
Uhrf1,-0.038761916,0.796318149,ENSMUSG00000001228
Dpp9,-0.026733986,1,ENSMUSG00000001229
Ramp2,0.257435575,0.825735464,ENSMUSG00000001240
Lsr,-0.051889802,0.708649728,ENSMUSG00000001247
Gramd1a,-0.150944417,1,ENSMUSG00000001248
Hpn,0.08898065,0.244648897,ENSMUSG00000001249
Gabrg1,0.04492507,1,ENSMUSG00000001260
Ckb,-0.106523027,1,ENSMUSG00000001270
Sp1,-0.079425855,1,ENSMUSG00000001280
Itgb7,-0.134035228,0.082973821,ENSMUSG00000001281
Myg1,-0.121745001,1,ENSMUSG00000001285
Rarg,-0.218971497,0.693545418,ENSMUSG00000001288
Pfdn5,0.144548061,1,ENSMUSG00000001289
Efnb2,0.110821569,1,ENSMUSG00000001300
Rrp15,0.317413863,0.415426763,ENSMUSG00000001305
Rnd2,0.134767198,1,ENSMUSG00000001313
